customer_id,full_name,email,city,signup_date
1,Ayse Taş,ayse.taş1@example.com,Istanbul,2026-01-29
2,Halim Ayhan,halim.ayhan2@example.com,Ankara,2024-05-22
3,Fatih Taş,fatih.taş3@example.com,KahramanMaraş,2026-01-28
4,Berk Efe,berk.efe4@example.com,Istanbul,2025-08-27
5,Fatmanur Uslu,fatmanur.uslu5@example.com,Istanbul,2024-04-05
6,Doğan Ayhan,doğan.ayhan6@example.com,Antalya,2025-09-08
7,Emir Efe,emir.efe7@example.com,Ankara,2026-01-03
8,Ayse Eren,ayse.eren8@example.com,Antalya,2025-03-05
9,Doğan Çakar,doğan.çakar9@example.com,Antalya,2024-10-11
10,Kerem Uslu,kerem.uslu10@example.com,Ankara,2025-12-15
11,Fatmanur Ermis,fatmanur.ermis11@example.com,Izmir,2024-06-08
12,Doğan Tas,doğan.tas12@example.com,Izmir,2024-04-14
13,Asli Sager,asli.sager13@example.com,Istanbul,2025-01-02
14,Selin Ermis,selin.ermis14@example.com,Antalya,2024-09-27
15,Kerem Uslu,kerem.uslu15@example.com,KahramanMaraş,2025-04-15
16,Ceyhun Taş,ceyhun.taş16@example.com,Bursa,2024-03-21
17,Ceyhun Günes,,KahramanMaraş,2025-09-25
18,Berk Ermis,berk.ermis18@example.com,Antalya,2024-07-15
19,Fatih Taş,fatih.taş19@example.com,Istanbul,2025-11-08
20,Doğan Tas,doğan.tas20@example.com,Izmir,2024-03-22
21,Selin Ayhan,selin.ayhan21@example.com,Istanbul,2025-01-24
22,Halim Çakar,halim.çakar22@example.com,KahramanMaraş,2026-05-04
23,Sinan Seker,sinan.seker23@example.com,Izmir,2024-12-29
24,Doğan Arpacik,doğan.arpacik24@example.com,Izmir,2025-12-19
25,Berk Arpacik,berk.arpacik25@example.com,KahramanMaraş,2024-03-14
26,Emirhan Arpacik,emirhan.arpacik26@example.com,Ankara,2025-06-30
27,Fatih Ayhan,fatih.ayhan27@example.com,Ankara,2025-04-18
28,Fatmanur Günes,fatmanur.günes28@example.com,KahramanMaraş,2025-12-05
29,Ceyhun Ayhan,ceyhun.ayhan29@example.com,KahramanMaraş,2024-11-28
30,Selin Tas,selin.tas30@example.com,Istanbul,2024-08-22
31,Selin Uslu,selin.uslu31@example.com,Izmir,2025-02-14
32,Halim Taş,halim.taş32@example.com,Ankara,2026-07-24
33,Emirhan Eren,emirhan.eren33@example.com,Izmir,2024-08-05
34,Ayse Çakar,,Bursa,2026-06-24
35,Berk Arpacik,berk.arpacik35@example.com,Bursa,2024-05-26
36,Halim Seker,halim.seker36@example.com,Ankara,2026-02-01
37,Ceyhun Efe,ceyhun.efe37@example.com,Izmir,2026-02-03
38,Emirhan Sager,emirhan.sager38@example.com,Antalya,2025-02-12
39,Sinan Ayhan,sinan.ayhan39@example.com,Ankara,2025-06-05
40,Elif Taş,elif.taş40@example.com,Istanbul,2026-05-31
41,Asli Seker,asli.seker41@example.com,KahramanMaraş,2024-06-12
42,Kerem Arpacik,kerem.arpacik42@example.com,Bursa,2025-09-02
43,Asli Sager,asli.sager43@example.com,Bursa,2025-09-02
44,Elif Efe,elif.efe44@example.com,Izmir,2025-07-20
45,Selin Uslu,selin.uslu45@example.com,KahramanMaraş,2026-01-08
46,Asli Arpacik,asli.arpacik46@example.com,Antalya,2026-02-07
47,Halim Tas,halim.tas47@example.com,KahramanMaraş,2024-12-14
48,Asli Günes,asli.günes48@example.com,Bursa,2024-06-10
49,Elif Uslu,elif.uslu49@example.com,KahramanMaraş,2026-06-15
50,Fatih Günes,fatih.günes50@example.com,Antalya,2026-02-19
51,Emre Efe,,Istanbul,2026-06-10
52,Ayse Günes,ayse.günes52@example.com,KahramanMaraş,2025-06-03
53,Emirhan Ayhan,emirhan.ayhan53@example.com,Ankara,2025-01-17
54,Kerem Seker,kerem.seker54@example.com,Antalya,2026-03-08
55,Berk Efe,berk.efe55@example.com,Istanbul,2025-09-05
56,Sinan Çakar,sinan.çakar56@example.com,Istanbul,2024-04-24
57,Berk Ermis,berk.ermis57@example.com,Izmir,2024-09-02
58,Emir Ayhan,emir.ayhan58@example.com,Antalya,2026-08-27
